"GEOID","NAME","mediancomeE","mediancomeM","valueE","valueM","medianyearbuiltE","medianyearbuiltM","NoVehicleE","NoVehicleM"
"20207096600","Census Tract 966; Woodson County; Kansas",58355,9208,60382400,11461789,1968,6,7,8
"20207096700","Census Tract 967; Woodson County; Kansas",41480,3686,NA,NA,1956,5,33,22
"20209040100","Census Tract 401; Wyandotte County; Kansas",54097,7443,NA,NA,1952,2,34,25
"20209040200","Census Tract 402; Wyandotte County; Kansas",73352,6248,36654000,18641296,1945,5,11,12
"20209040500","Census Tract 405; Wyandotte County; Kansas",48638,625,97650100,32365839,1956,2,60,54
"20209040600","Census Tract 406; Wyandotte County; Kansas",56959,9610,NA,NA,1953,3,35,28
"20209040700","Census Tract 407; Wyandotte County; Kansas",44628,20264,NA,NA,1938,NA,6,10
"20209040900","Census Tract 409; Wyandotte County; Kansas",69650,22712,NA,NA,1950,12,17,18
"20209041100","Census Tract 411; Wyandotte County; Kansas",28655,4009,NA,NA,1938,NA,25,33
"20209041200","Census Tract 412; Wyandotte County; Kansas",25791,11271,NA,NA,1952,20,60,56
"20209041300","Census Tract 413; Wyandotte County; Kansas",55343,23895,NA,NA,1943,9,47,39
"20209041400","Census Tract 414; Wyandotte County; Kansas",28780,9031,NA,NA,1953,10,102,61
"20209041500","Census Tract 415; Wyandotte County; Kansas",51100,21406,66981900,49890618,1959,9,0,11
"20209041600","Census Tract 416; Wyandotte County; Kansas",60255,6449,NA,NA,1953,7,71,63
"20209041900","Census Tract 419; Wyandotte County; Kansas",68029,4210,36151600,11918153,1938,NA,9,15
"20209042001","Census Tract 420.01; Wyandotte County; Kansas",31594,2573,NA,NA,1938,NA,119,136
"20209042002","Census Tract 420.02; Wyandotte County; Kansas",47740,25067,NA,NA,1942,8,110,60
"20209042100","Census Tract 421; Wyandotte County; Kansas",49211,8823,52584800,15591497,1938,NA,7,11
"20209042200","Census Tract 422; Wyandotte County; Kansas",48661,9932,NA,NA,1941,5,0,11
"20209042300","Census Tract 423; Wyandotte County; Kansas",39181,6804,34673600,11922493,1938,NA,112,83
"20209042400","Census Tract 424; Wyandotte County; Kansas",36778,12287,28015600,7102179,1940,8,76,41
"20209042600","Census Tract 426; Wyandotte County; Kansas",31341,2819,25450600,6255065,1946,6,32,33
"20209042700","Census Tract 427; Wyandotte County; Kansas",44615,25434,68803200,18639846,1938,NA,155,97
"20209042800","Census Tract 428; Wyandotte County; Kansas",48923,3309,69516100,20499774,1967,2,171,97
"20209042900","Census Tract 429; Wyandotte County; Kansas",31500,7915,NA,NA,1953,7,474,121
"20209043000","Census Tract 430; Wyandotte County; Kansas",50556,10944,NA,NA,1948,6,79,62
"20209043301","Census Tract 433.01; Wyandotte County; Kansas",51060,5797,NA,NA,1973,5,72,68
"20209043400","Census Tract 434; Wyandotte County; Kansas",61797,5503,78437300,14543687,1956,3,15,15
"20209043500","Census Tract 435; Wyandotte County; Kansas",63125,24659,57834000,17310971,1956,3,18,30
"20209043600","Census Tract 436; Wyandotte County; Kansas",58176,17709,NA,NA,1959,3,0,16
"20209043700","Census Tract 437; Wyandotte County; Kansas",54625,17883,NA,NA,1963,5,26,31
"20209043802","Census Tract 438.02; Wyandotte County; Kansas",69000,17379,NA,NA,1962,8,6,10
"20209043803","Census Tract 438.03; Wyandotte County; Kansas",69167,14410,145018400,26582557,1960,6,76,64
"20209043903","Census Tract 439.03; Wyandotte County; Kansas",55417,13015,51833900,15180766,1957,2,40,43
"20209043904","Census Tract 439.04; Wyandotte County; Kansas",52426,20179,64894400,21860202,1967,4,64,50
"20209043905","Census Tract 439.05; Wyandotte County; Kansas",32292,14772,43852800,15938067,1973,4,0,11
"20209044001","Census Tract 440.01; Wyandotte County; Kansas",62619,9910,NA,NA,1960,5,0,11
"20209044002","Census Tract 440.02; Wyandotte County; Kansas",46648,8973,NA,NA,1984,8,42,35
"20209044101","Census Tract 441.01; Wyandotte County; Kansas",50000,28035,53804700,30757657,1978,3,20,20
